Pub,Area,Author,Location,Beer Selection,Value,Facilities,Vibe,Total /25,Score /10,Rank,Lat,Lng,Place ID,Date of Entry
The Engineer's House,Cambridge,Tommy,4.0,4.0,2.0,5.0,4.0,19.0,7.60,5,52.2124685,0.1427534,ChIJxeuMg6Jx2EcR6GxgQkJmWlo,
The Green Dragon,Cambridge,Tommy,3.0,3.0,2.0,4.0,3.0,15.0,6.00,42,52.2179255,0.1455132,ChIJNTw1yFhw2EcRXfC0X4wAZ4Q,
Fort St George,Cambridge,Tommy,4.0,3.0,3.0,2.0,2.0,14.0,5.60,45,52.2124768,0.1277925,ChIJbVXotOxw2EcRdTAkLPgP-zs,
The Portland Arms,Cambridge,Tommy,3.0,4.0,3.0,3.0,3.0,16.0,6.40,35,52.2144396,0.1247154,ChIJ8QLgEetw2EcRkEQp5VqEY9w,
The Boathouse,Cambridge,Tommy,4.0,3.0,4.0,4.0,2.0,17.0,6.80,25,52.2136824,0.1236150,ChIJC42pIutw2EcRrs0_hqpsZLs,
Byron's,Cambridge,Tommy,4.0,3.0,3.0,4.0,4.0,18.0,7.20,17,52.2086593,0.1184641,ChIJBSD7Q75w2EcRnrNDytU73RE,
The Sportsman,"Bristol, Ashley Down",Tommy,3.5,2.0,3.8,4.6,3.8,17.7,7.08,19,51.4791919,-2.5869456,ChIJg4ju3ASOcUgRcdAPFPrUOIg,
The Farm,"Bristol, St Werburghs",Tommy,4.0,4.0,3.5,3.8,4.5,19.8,7.92,4,51.4744677,-2.5780511,ChIJK7-6IheOcUgRRibRg3fvnBc,
Arnolfini,"Bristol, Waterfront",Tommy,4.8,4.0,2.9,3.5,3.8,19.0,7.60,5,51.4493123,-2.5973741,ChIJPTid29WNcUgRr1GAe7m5AF8,
Wiper and True Taproom,"Bristol, Old Market",Tommy,2.2,4.8,2.5,4.2,2.4,16.1,6.44,34,51.4589496,-2.5747785,ChIJIXMehiiPcUgRgmA1wr6lVlU,
The Old Duke,"Bristol, Kings Street",Tommy,4.3,3.8,3.5,4.8,4.2,20.6,8.24,1,51.4521295,-2.5932412,ChIJ34Js-niOcUgRJhPD6HuRvT4,
Blue Lagoon,"Bristol, Gloucester Road",Tommy,3.0,3.0,4.0,3.0,2.1,15.1,6.04,41,51.4713676,-2.5930445,ChIJr0gmaQmOcUgRfiRbFuGudYA,
